loan_index,present_value_yearly_default_classification
0,990287.7834620363
1,901437.9177335392
2,314953.5349870681
3,606304.8289318444
4,302503.02090810507
5,374163.34271961823
6,604575.5903163543
7,475023.5316192164
8,445400.66302084253
9,435559.59586963354
10,366030.400771063
11,548954.1568162682
12,721080.5492026779
13,430683.07680927723
14,308650.33815374033
15,485290.01742067665
16,435178.59099227114
17,1056107.5105194
18,439993.3857593662
19,324572.6508747167
20,929521.9632335884
21,781601.8729508269
22,1382847.5175464556
23,239409.59368733905
24,332393.7606285504
25,782608.0396628923
26,247999.7701368225
27,880143.5044444725
28,477323.95836813224
29,765403.1209033101
30,938553.3914349522
31,188467.14891251887
32,492993.38454117207
33,765049.2003495126
34,247411.1288378181
35,564290.102540452
36,534739.2667095885
37,638101.6399786271
38,412414.1310012924
39,319346.13767821155
40,732151.9851175739
41,773341.3977594173
42,394170.6900233542
43,524389.2598860407
44,222417.59863584483
45,828523.0817303343
46,467230.8799039586
47,1194162.622063435
48,762673.553666007
49,361345.96301044594
50,537366.0835248614
51,267283.5578915925
52,719962.7851506618
53,551710.2733481221
54,647852.9743739087
55,860910.2603232387
56,1136365.6710968874
57,425895.23655049526
58,1402051.7455974214
59,1023107.5203264896
60,782251.825712068
61,671012.4658100483
62,697780.3304284926
63,667096.7145679715
64,437581.2151361728
65,855594.1301353
66,399024.3146570043
67,744996.4201187603
68,851070.3195461315
69,1256738.9571968797
70,2011885.431191888
71,531641.6810132929
72,398256.93728404405
73,603460.3986768782
74,2065773.304293776
75,745736.311248135
76,454324.9831958053
77,401549.71538728685
78,627276.452377658
79,507899.4468980075
80,290257.1571439938
81,1120542.4962932484
82,621065.1582159837
83,634115.0247359221
84,531484.9544990809
85,1120445.2631310748
86,598026.2553717309
87,285608.4966455617
88,511208.2905843905
89,168587.914045884
90,740361.2760813718
91,423138.91876850073
92,190819.7843087013
93,525421.595954216
94,439331.43962487875
95,358331.1813088455
96,738462.8486628738
97,1195946.8869242563
98,955288.4193265458
99,1482448.3080220576
100,584487.3960602094
101,902915.5475512561
102,165705.43343381234
103,460001.7994426062
104,392866.0839711519
105,945282.9963140631
106,357707.4667017031
107,903037.8835271694
108,767310.8948621426
109,588271.4213321621
110,912903.2054969304
111,785501.4366887314
112,650263.0262581289
113,979810.6108296091
114,940793.5701454966
115,123486.6271661971
116,320437.8261073566
117,1092605.1116899566
118,436037.1187763065
119,216917.61349053285
120,378625.0192131744
121,614122.9986996053
122,396282.14517889306
123,349943.4968159281
124,221259.85929983793
125,457132.7641001351
126,385443.9837366307
127,804627.0432097979
128,1131238.2749010492
129,1258393.9474291666
130,658419.755654723
131,482693.7678228309
132,539266.4478409468
133,692801.3232241805
134,421370.80058156286
135,577413.3691952673
136,438946.8430058009
137,462533.7838447105
138,1078132.1818345739
139,447358.876986518
140,204068.28107874343
141,678081.0505527245
142,354531.0749140027
143,370905.16637908324
144,801570.0097892106
145,367238.6087083243
146,309591.3546128084
147,687223.608708867
148,471681.81111504184
149,1034277.6269906625
150,937626.1700388335
151,345294.50645870494
152,157063.5034641595
153,795436.4256285159
154,747686.9544496674
155,606660.5792281671
156,713099.3706919871
157,158504.4864070326
158,674195.4238499071
159,222120.03325414105
160,713911.0748053248
161,405147.2923216821
162,636405.464721626
163,636178.5168501665
164,492941.3254781501
165,776905.8194058256
166,214261.288726396
167,523422.79644104413
168,307140.05098927097
169,384406.97951935563
170,654509.5935264847
171,837605.437792414
172,242392.03311142762
173,394406.01174375776
174,1333482.294386594
175,444110.00105809845
176,884162.4276989857
177,702243.7158135603
178,1198857.8185956671
179,568851.243916012
180,962673.0961633443
181,1018586.7961485703
182,601594.8134163793
183,782012.0643739927
184,635345.1915644342
185,425969.8819639749
