loan_index,property_value,house_indicator,credit_score,married,num_dependents,education,annual_income,coapplicant_indicator,coapplicant_income,interest_rate,pmt,pmt_1,pmt_2,pmt_3,pmt_4,pmt_5,pmt_6,pmt_7,pmt_8,pmt_9,pmt_10,pmt_11,pmt_12,pmt_13,pmt_14,pmt_15,pmt_16,pmt_17,pmt_18,pmt_19,pmt_20,pmt_21,pmt_22,pmt_23,pmt_24,pmt_25,pmt_26,pmt_27,pmt_28,pmt_29,pmt_30
0,1034333.55,1,689,0,0,Bachelors Degree,183896.81,0,,7.08,67219.27,67219.27,67219.27,67219.27,67219.27,67219.27,67219.27,67219.27,67219.27,67219.27,67219.27,67219.27,67219.27,67219.27,67219.27,67219.27,67219.27,67219.27,67219.27,67219.27,67219.27,67219.27,67219.27,67219.27,67219.27,67219.27,67219.27,67219.27,67219.27,67219.27,67219.27
1,942811.1,1,620,0,0,Bachelors Degree,182878.9,1,155627.09,7.25,62315.76,62315.76,62315.76,62315.76,62315.76,62315.76,62315.76,62315.76,62315.76,62315.76,62315.76,62315.76,62315.76,62315.76,62315.76,62315.76,62315.76,62315.76,62315.76,62315.76,62315.76,62315.76,62315.76,62315.76,62315.76,62315.76,62315.76,62315.76,62315.76,62315.76,62315.76
2,438038.56,1,722,1,1,Began Bachelors,70405.18,0,,7,28239.96,28239.96,28239.96,28239.96,28239.96,28239.96,28239.96,28239.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,992154.42,1,636,1,2,High School,135044.99,1,118209.66,7.21,65317.93,65317.93,65317.93,65317.93,65317.93,65317.93,65317.93,65317.93,65317.93,65317.93,65317.93,65317.93,65317.93,65317.93,65317.93,65317.93,65317.93,65317.93,0,0,0,0,0,0,0,0,0,0,0,0,0
4,628359.44,1,620,1,1,High School,99933.09,0,,7.25,41531.85,41531.85,41531.85,41531.85,41531.85,41531.85,41531.85,41531.85,41531.85,41531.85,41531.85,41531.85,41531.85,41531.85,41531.85,41531.85,41531.85,41531.85,41531.85,41531.85,41531.85,41531.85,41531.85,41531.85,41531.85,41531.85,41531.85,41531.85,41531.85,41531.85,41531.85
5,607869.33,1,696,0,0,Began Bachelors,81631.07,1,88161.2,7.06,39425.27,39425.27,39425.27,39425.27,39425.27,39425.27,39425.27,39425.27,39425.27,39425.27,39425.27,39425.27,39425.27,39425.27,39425.27,39425.27,39425.27,39425.27,39425.27,39425.27,39425.27,39425.27,39425.27,39425.27,39425.27,39425.27,39425.27,39425.27,39425.27,39425.27,39425.27
6,724656.58,0,698,1,0,Began Bachelors,216661.18,1,153467.73,7.05,46952.85,46952.85,46952.85,46952.85,46952.85,46952.85,46952.85,46952.85,46952.85,46952.85,46952.85,46952.85,46952.85,46952.85,46952.85,46952.85,46952.85,46952.85,46952.85,46952.85,46952.85,46952.85,46952.85,46952.85,46952.85,46952.85,46952.85,46952.85,46952.85,46952.85,46952.85
7,1061827.61,1,658,0,2,High School,180347.47,0,,7.16,69558.64,69558.64,69558.64,69558.64,69558.64,69558.64,69558.64,69558.64,69558.64,69558.64,69558.64,69558.64,69558.64,69558.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,612143.96,1,707,1,0,High School,175550.83,1,132155.95,7.03,39583.38,39583.38,39583.38,39583.38,39583.38,39583.38,39583.38,39583.38,39583.38,39583.38,39583.38,39583.38,39583.38,39583.38,39583.38,39583.38,39583.38,39583.38,39583.38,39583.38,39583.38,39583.38,39583.38,39583.38,39583.38,39583.38,39583.38,39583.38,39583.38,39583.38,39583.38
9,706157.01,1,648,1,0,Began Bachelors,97392.14,0,,7.18,46351.26,46351.26,46351.26,46351.26,46351.26,46351.26,46351.26,46351.26,46351.26,46351.26,46351.26,46351.26,46351.26,46351.26,46351.26,46351.26,46351.26,46351.26,46351.26,46351.26,46351.26,46351.26,46351.26,46351.26,46351.26,46351.26,46351.26,46351.26,46351.26,46351.26,46351.26
10,403912.52,0,590,0,1,Bachelors Degree,107204.83,1,79455.12,7.33,26908.38,26908.38,26908.38,26908.38,26908.38,26908.38,26908.38,26908.38,26908.38,26908.38,26908.38,26908.38,26908.38,26908.38,26908.38,26908.38,26908.38,26908.38,26908.38,26908.38,26908.38,26908.38,26908.38,26908.38,26908.38,26908.38,26908.38,26908.38,26908.38,26908.38,26908.38
11,986585.99,1,612,0,0,Began Bachelors,234928.61,1,149120.21,7.27,65338.1,65338.1,65338.1,65338.1,65338.1,65338.1,65338.1,65338.1,65338.1,65338.1,65338.1,65338.1,65338.1,65338.1,65338.1,65338.1,65338.1,65338.1,65338.1,65338.1,65338.1,65338.1,65338.1,65338.1,65338.1,65338.1,65338.1,65338.1,65338.1,65338.1,65338.1
12,714396.56,1,741,1,1,Bachelors Degree,81531.28,0,,6.95,45825.41,45825.41,45825.41,45825.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,419238.28,1,716,1,1,Bachelors Degree,162313.22,1,116891.9,7.01,27055.08,27055.08,27055.08,27055.08,27055.08,27055.08,27055.08,27055.08,27055.08,27055.08,27055.08,27055.08,27055.08,27055.08,27055.08,27055.08,27055.08,27055.08,27055.08,27055.08,27055.08,27055.08,27055.08,27055.08,27055.08,27055.08,27055.08,27055.08,27055.08,27055.08,27055.08
14,427902.65,1,669,1,1,Began Bachelors,80566.14,1,89619.75,7.13,27947.64,27947.64,27947.64,27947.64,27947.64,27947.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
